file,start,end,marker,streak_start,streak_end
108_5.c3d,293,859,C7,839,859
148_2.c3d,51,409,RGT,51,86
80_5.c3d,281,580,LGT,580,580
146_2.c3d,189,601,RLE,189,221
146_2.c3d,189,601,RUL,189,195
171_5.c3d,207,553,LUL,538,553
48_2.c3d,258,700,LEP,700,700
48_2.c3d,258,700,LLE,698,700
48_2.c3d,258,700,LGT,694,700
150_2.c3d,106,560,C7,106,116
150_2.c3d,106,560,LLE,558,560
150_2.c3d,106,560,LGT,106,112
86_6.c3d,626,969,C7,967,969
86_6.c3d,626,969,RUL,948,969
157_9.c3d,1,796,RFM,699,796
157_9.c3d,1,796,LASIS,1,169
157_9.c3d,1,796,LASIS,595,796
157_9.c3d,1,796,RGT,1,135
157_9.c3d,1,796,RGT,721,796
157_9.c3d,1,796,RUL,1,103
157_9.c3d,1,796,RUL,672,796
157_9.c3d,1,796,LA,1,115
157_9.c3d,1,796,RLE,1,152
157_9.c3d,1,796,RLE,736,796
157_9.c3d,1,796,C7,1,152
157_9.c3d,1,796,C7,665,796
157_9.c3d,1,796,REP,1,72
157_9.c3d,1,796,REP,704,796
157_9.c3d,1,796,LCA,1,184
157_9.c3d,1,796,LCA,757,796
157_9.c3d,1,796,LEP,1,135
157_9.c3d,1,796,RPSIS,1,153
157_9.c3d,1,796,RPSIS,745,796
157_9.c3d,1,796,RA,1,77
157_9.c3d,1,796,RA,675,796
157_9.c3d,1,796,RASIS,1,169
157_9.c3d,1,796,RASIS,595,796
157_9.c3d,1,796,LFM,1,180
157_9.c3d,1,796,LFM,700,796
157_9.c3d,1,796,LPSIS,1,165
157_9.c3d,1,796,LUL,1,116
157_9.c3d,1,796,RCA,1,158
157_9.c3d,1,796,RCA,716,796
157_9.c3d,1,796,LGT,1,154
157_9.c3d,1,796,LGT,767,796
157_9.c3d,1,796,LLE,1,176
157_9.c3d,1,796,LLE,648,796
39_2.c3d,596,946,C7,941,946
95_7.c3d,23,458,RUL,23,68
90_6.c3d,634,1165,RGT,634,638
121_1.c3d,66,407,C7,383,407
23_5.c3d,213,1333,RLE,213,344
23_5.c3d,213,1333,RGT,213,306
127_2.c3d,203,478,RUL,203,204
44_1.c3d,235,709,C7,709,709
131_1.c3d,268,684,LASIS,268,268
131_1.c3d,268,684,RUL,268,270
131_1.c3d,268,684,RASIS,268,268
150_3.c3d,137,637,LASIS,633,637
150_3.c3d,137,637,RGT,137,148
150_3.c3d,137,637,RUL,137,139
150_3.c3d,137,637,RLE,137,156
150_3.c3d,137,637,RASIS,633,637
150_3.c3d,137,637,C7,137,144
124_2.c3d,268,875,LGT,872,875
22_4.c3d,529,1438,RUL,529,609
22_4.c3d,529,1438,LGT,529,547
10_3.c3d,738,1779,LGT,1771,1779
72_4.c3d,375,665,C7,662,665
25_2.c3d,375,805,RGT,805,805
25_2.c3d,375,805,RUL,798,805
34_6.c3d,1,853,RLE,1,32
34_6.c3d,1,853,LEP,846,853
34_6.c3d,1,853,RPSIS,1,89
34_6.c3d,1,853,RASIS,1,89
34_6.c3d,1,853,LPSIS,1,62
34_6.c3d,1,853,LUL,842,853
106_10.c3d,295,574,C7,295,295
92_2.c3d,271,765,RCA,764,765
104_5.c3d,136,584,C7,573,584
96_2.c3d,1,1052,LASIS,1,103
96_2.c3d,1,1052,LASIS,1002,1052
96_2.c3d,1,1052,LA,984,1052
96_2.c3d,1,1052,LFM,1,5
96_2.c3d,1,1052,LFM,1025,1052
96_2.c3d,1,1052,C7,984,1052
96_2.c3d,1,1052,RASIS,1,103
96_2.c3d,1,1052,RPSIS,1035,1052
96_2.c3d,1,1052,LEP,976,1052
96_2.c3d,1,1052,RLE,1,96
96_2.c3d,1,1052,LGT,963,1052
96_2.c3d,1,1052,LCA,1,16
96_2.c3d,1,1052,LCA,1040,1052
96_2.c3d,1,1052,LPSIS,1003,1052
96_2.c3d,1,1052,LUL,971,1052
96_2.c3d,1,1052,RCA,1,17
96_2.c3d,1,1052,LLE,1,16
96_2.c3d,1,1052,LLE,969,1052
136_4.c3d,355,930,LEP,355,358
136_4.c3d,355,930,LEP,918,930
136_4.c3d,355,930,C7,924,930
136_4.c3d,355,930,LA,924,930
67_3.c3d,87,468,C7,87,88
52_4.c3d,754,1071,RGT,921,1071
52_4.c3d,754,1071,LGT,870,1071
78_2.c3d,79,627,RFM,622,627
78_2.c3d,79,627,LASIS,622,627
78_2.c3d,79,627,RGT,622,627
78_2.c3d,79,627,RUL,622,627
78_2.c3d,79,627,RLE,622,627
78_2.c3d,79,627,LA,622,627
78_2.c3d,79,627,RPSIS,622,627
78_2.c3d,79,627,LUL,622,627
78_2.c3d,79,627,REP,622,627
78_2.c3d,79,627,LCA,622,627
78_2.c3d,79,627,LEP,622,627
78_2.c3d,79,627,LFM,622,627
